test_case,image,state_gt,param_gt,dimension_gt,qubits_gt,linear_gt
1,generated_images_qutip_color_bigger_linspace_2d3d_blues/Cat_state_N30_alpha1_linspace6.png,cat,1.0,30.0,5.0,6
2,generated_images_qutip_color_bigger_linspace_2d3d_blues/Cat_state_N30_alpha1_linspace7.png,cat,1.0,30.0,5.0,7
3,generated_images_qutip_color_bigger_linspace_2d3d_blues/Cat_state_N30_alpha1_linspace8.png,cat,1.0,30.0,5.0,8
4,generated_images_qutip_color_bigger_linspace_2d3d_blues/Cat_state_N30_alpha1_linspace9.png,cat,1.0,30.0,5.0,10
5,generated_images_qutip_color_bigger_linspace_2d3d_blues/Cat_state_N30_alpha1_linspace10.png,cat,1.0,30.0,5.0,10
6,generated_images_qutip_color_bigger_linspace_2d3d_blues/Cat_state_N30_alpha2_linspace5.png,cat,2.0,30.0,5.0,5
7,generated_images_qutip_color_bigger_linspace_2d3d_blues/Cat_state_N30_alpha2_linspace6.png,cat,2.0,30.0,5.0,6
8,generated_images_qutip_color_bigger_linspace_2d3d_blues/Cat_state_N30_alpha2_linspace7.png,cat,2.0,30.0,5.0,7
9,generated_images_qutip_color_bigger_linspace_2d3d_blues/Cat_state_N30_alpha2_linspace8.png,cat,2.0,30.0,5.0,8
10,generated_images_qutip_color_bigger_linspace_2d3d_blues/Cat_state_N30_alpha2_linspace9.png,cat,2.0,30.0,5.0,9
11,generated_images_qutip_color_bigger_linspace_2d3d_blues/Cat_state_N30_alpha2_linspace10.png,cat,2.0,30.0,5.0,10
12,generated_images_qutip_color_bigger_linspace_2d3d_blues/Cat_state_N30_alpha3_linspace5.png,cat,3.0,30.0,5.0,6
13,generated_images_qutip_color_bigger_linspace_2d3d_blues/Cat_state_N30_alpha3_linspace6.png,cat,3.0,30.0,5.0,6
14,generated_images_qutip_color_bigger_linspace_2d3d_blues/Cat_state_N30_alpha3_linspace7.png,cat,3.0,30.0,5.0,7
15,generated_images_qutip_color_bigger_linspace_2d3d_blues/Cat_state_N30_alpha3_linspace8.png,cat,3.0,30.0,5.0,8
16,generated_images_qutip_color_bigger_linspace_2d3d_blues/Cat_state_N30_alpha3_linspace9.png,coherent,3.0,30.0,5.0,9
17,generated_images_qutip_color_bigger_linspace_2d3d_blues/Cat_state_N30_alpha3_linspace10.png,coherent,3.0,30.0,5.0,10
18,generated_images_qutip_color_bigger_linspace_2d3d_blues/Cat_state_N30_alpha4_linspace5.png,cat,4.0,30.0,5.0,5
19,generated_images_qutip_color_bigger_linspace_2d3d_blues/Cat_state_N30_alpha4_linspace6.png,cat,4.0,30.0,5.0,6
20,generated_images_qutip_color_bigger_linspace_2d3d_blues/Cat_state_N30_alpha4_linspace7.png,cat,4.0,30.0,5.0,7
21,generated_images_qutip_color_bigger_linspace_2d3d_blues/Cat_state_N30_alpha4_linspace8.png,coherent,4.0,30.0,5.0,8
22,generated_images_qutip_color_bigger_linspace_2d3d_blues/Cat_state_N30_alpha4_linspace9.png,cat,4.0,30.0,5.0,9
23,generated_images_qutip_color_bigger_linspace_2d3d_blues/Cat_state_N30_alpha4_linspace10.png,coherent,4.0,30.0,5.0,10
24,generated_images_qutip_color_bigger_linspace_2d3d_blues/Cat_state_N30_alpha5_linspace5.png,cat,5.0,30.0,5.0,5
25,generated_images_qutip_color_bigger_linspace_2d3d_blues/Cat_state_N30_alpha5_linspace6.png,cat,5.0,30.0,5.0,6
26,generated_images_qutip_color_bigger_linspace_2d3d_blues/Cat_state_N30_alpha5_linspace7.png,cat,5.0,30.0,5.0,7
27,generated_images_qutip_color_bigger_linspace_2d3d_blues/Cat_state_N30_alpha5_linspace8.png,cat,5.0,30.0,5.0,8
28,generated_images_qutip_color_bigger_linspace_2d3d_blues/Cat_state_N30_alpha5_linspace9.png,cat,5.0,30.0,5.0,9
